epoch,train loss,val loss,swa
0.0,0.5010746322572232,0.50279953032732,n
19.0,0.21241923347115516,0.24707550331950187,y
39.0,0.11000111536122859,0.10215804199688136,y
59.0,0.06401308171916753,0.09953873388003558,y
79.0,0.021701567856880644,0.05403862175170957,y
99.0,0.0027796866786681785,0.0791785214762277,y
119.0,0.0006305223373297578,0.05875224610801331,y
139.0,0.0010831744907302322,0.05368950096610945,y
159.0,0.022742998305309563,0.052877844674864706,y
179.0,0.00034346225625401654,0.05775283866848602,y
