,,accuracy,accuracy,accuracy,f1_macro,f1_macro,f1_macro,f1_micro,f1_micro,f1_micro,kappa,kappa,kappa
,,mean,std,sem,mean,std,sem,mean,std,sem,mean,std,sem
num_classes,train_size,,,,,,,,,,,,
2,10,0.7149857549857549,0.08059717167830305,0.009498467773030742,0.7105718030740769,0.08222127211113515,0.009689869844594672,0.7149857549857549,0.08059717167830305,0.009498467773030742,0.42997150997150996,0.16119434335660612,0.018996935546061484
2,20,0.7689934640522876,0.044771557133134736,0.00667414968054699,0.7669349206240633,0.04521411897310713,0.006740122904442035,0.7689934640522876,0.044771557133134736,0.00667414968054699,0.5379869281045752,0.08954311426626943,0.01334829936109398
2,50,0.8228744939271255,0.0430280032728751,0.005966910464660906,0.8220422291309707,0.043298615930902354,0.006004437688288092,0.8228744939271255,0.0430280032728751,0.005966910464660906,0.645748987854251,0.08605600654575023,0.011933820929321812
2,100,0.8590909090909091,0.0285442240614932,0.004968911615698965,0.8587182591405526,0.028762245734224645,0.005006864317435594,0.8590909090909091,0.0285442240614932,0.004968911615698965,0.7181818181818181,0.05708844812298639,0.00993782323139793
2,200,0.8845454545454546,0.01252270664905085,0.002179923419687602,0.8844023301947853,0.012508850037835322,0.002177511293287715,0.8845454545454546,0.01252270664905085,0.002179923419687602,0.769090909090909,0.025045413298101674,0.004359846839375204
5,10,0.3559871794871795,0.06831933113391675,0.00881998772352298,0.34419635262972437,0.06727786896919995,0.008685535536201204,0.3559871794871795,0.06831933113391675,0.00881998772352298,0.19509995736641897,0.08426438627793607,0.010878485491094506
5,20,0.432439446366782,0.07533311884742529,0.012919523296705902,0.42082555607784555,0.07844656734040739,0.013453475308166407,0.432439446366782,0.07533311884742529,0.012919523296705902,0.2905411064681828,0.09317624778575201,0.01597959466414429
5,50,0.4989724310776942,0.06082356571777571,0.009385279946892245,0.4818737222333417,0.06293834635038238,0.009711597682938403,0.4989724310776942,0.06082356571777571,0.009385279946892245,0.37155325277593626,0.0759398138160617,0.011717767667315873
5,100,0.57625,0.03997961437054378,0.008160804610089493,0.5677525383800871,0.038189973645238344,0.007795495726764271,0.57625,0.03997961437054378,0.008160804610089493,0.46844602795105367,0.04986124178198275,0.0101778833589499
5,200,0.6533333333333333,0.03961351750641152,0.007623624998624878,0.6481995414584184,0.038562004255088836,0.00742126117905568,0.6533333333333333,0.03961351750641152,0.007623624998624878,0.5659573701234607,0.049298476261807916,0.009487496180131056
